,2019,2020,2021,2022,2023
JKHY,10.6165545884111,20.785269521266688,13.958434950089286,19.374723919691693,0.0
JNJ,8.02851560545341,11.020433932935232,8.224350926878307,9.722794056880163,0.0
JNPR,2.383872736386489,2.6280531360264727,4.598873588587277,4.954902391084771,0.0
JPM,17.1170337558187,26.08584424891004,15.749606069856126,24.54010495580666,0.0
K,6.702960681386763,5.062976468216786,3.923108464484573,6.747275084426122,0.0
KACPF,0.0,1.203927011146116,0.0,0.0,0.0
KEY,1.9225372584854539,4.910035121472858,2.9159328389358428,5.183459722766513,0.0
KEYS,17.88820331166368,17.23815739394691,33.79841106302046,24.25382048687217,0.0
KGNR,0.0,0.15057603225812916,0.6617389605766263,0.7201405214146354,0.0
KHC,9.998221534384763,5.345071267334233,5.054272764369788,3.916570795610274,0.0
KIM,2.5882889585310633,5.396801788596664,3.5793716003968545,3.265297679801584,0.0
KMB,14.8668536258989,13.17047106794466,5.2427058957489265,12.998640500671591,0.0
KMX,20.33231388919408,22.936336664794343,18.013352481931882,26.208483919310293,0.0
KO,5.37970742360649,7.592420713632117,4.221580450095537,4.176231211300184,0.0
KR,3.806393396998538,3.6257582703064646,6.374346271998768,7.1588729600968035,0.0
KSS,15.615080273608493,16.848322934391522,8.526658633442727,21.827319624818035,0.0
LBTYA,3.047317444813446,3.422448744938847,2.5161070449460654,5.792570029669154,0.0
LDOS,19.11665672040898,13.911646457851209,9.996258853122045,10.90496254446388,0.0
LEG,8.537740084558804,11.35184453821232,6.858259956083947,4.058091003872341,0.0
LH,19.710762415755024,36.4119254323552,42.13349909758101,35.714153215594386,0.0
LKQ,5.753324111664713,8.369103369437179,10.758561021249992,5.906623410461401,0.0
LMT,63.00995581314594,45.440809888402754,32.22503913107183,53.32737126915342,0.0
LNC,6.365379661999665,16.6658350648851,11.133593445377516,18.19964731278304,0.0
LNT,5.794699170621869,6.27667756017495,6.480098722371841,6.27851464663437,0.0
LOW,12.9034286608758,44.74243459774226,42.53373172900468,30.815997417135645,0.0
LRCX,66.13706479446125,115.12995932963632,83.06067978687464,130.4656362938681,0.0
LUV,4.429500238059681,14.063577075395678,10.270812165750343,7.231177706282574,0.0
LVS,7.06564390285128,13.782706608675824,15.928700912390706,6.933954693825609,0.0
LYB,9.549271661695087,21.317147226106663,12.337932365612831,18.041061856549515,0.0
LYV,9.464055619855838,19.58323886929082,20.286938911860535,25.462442642680777,0.0
MAA,20.245170878028325,18.494001478045114,46.106422470683704,36.58260145694312,0.0
MAR,16.633151268082738,37.193294281678845,17.885053951863448,19.566921806519204,0.0
MCD,20.747547697071173,30.63266783023402,24.628876877117353,19.988815206059922,0.0
MCHP,5.963851154334608,15.11886735675684,7.923064406087198,10.847439373147443,0.0
MCK,17.567097186317902,22.83562001404608,26.19232655796156,65.193607543334,0.0
MCO,38.53803701503824,41.701561305724915,70.35415716445665,52.923765458304246,0.0
MDLZ,6.258161684787436,5.550717486344555,4.856808649689004,5.100316238477324,0.0
MDT,15.327244100017584,16.29330773275441,12.201721878654189,17.01090352058343,0.0
MET,3.9100569361190067,10.998342464288246,7.156737169141633,6.889059476622297,0.0
MGM,3.3484347492661706,10.91750625278567,7.358353476764596,8.3481622290849,0.0
MHK,17.798855572828476,35.79424558702463,30.046202151724433,36.5364365467848,0.0
MKTX,99.75269969028196,129.01211919561754,91.38147608390327,79.01588493270717,0.0
MLM,52.61731139310073,57.862478915285344,59.51098369663843,48.98287278886053,0.0
MMC,11.568098616753064,15.04358331964885,32.400964806052116,12.40514030745909,0.0
MMM,30.089480719320708,20.068240832391425,18.306587621878865,28.389171315938505,0.0
MNST,6.1619610116863655,16.105645902824026,6.121655840873334,10.69505824818321,0.0
MO,6.796947321875784,6.0579705625824865,4.640945785915694,7.253790732279265,0.0
MOS,7.278410402831846,6.635263225430578,6.422996493158482,13.900961679424086,0.0
MPC,9.948764667201088,16.668682644742404,9.952700011109872,23.937049183502186,0.0
MRCR,0.2371686674275595,0.17667886736832947,0.12783605441886425,0.1987241266610016,0.0
MRK,6.4399180585659535,6.575539206735764,6.287316603208795,13.638058921492695,0.0
MRO,3.3225097413038354,4.31927264436488,4.256449394701048,6.141115352097387,0.0
MS-PF,0.9689759852727694,2.2279971582455675,0.608256481883734,1.179550186034376,0.0
MSCI,48.235537888438394,77.59050034867562,150.52675816691814,76.89115457221018,0.0
MSFT,24.509149106528,37.82433418311413,60.76129874571254,42.25779855800856,0.0
MSI,29.26156897962661,26.231273474493705,48.81342928632217,29.153633181904457,0.0
MU,8.9430397131731,13.274972234396675,11.795030227092925,21.257845303790607,0.0
NCLH,5.784387794658829,23.26711656999781,5.405228618744098,5.839605452768985,0.0
NCTKF,5.03367725466209,6.617293415992376,9.66739626090108,5.0151987133537705,0.0
NDAQ,3.9829476707211273,6.36548675596887,13.28340976753314,8.278698675904096,0.0
NEE,8.353864097748378,11.193065535973998,9.298319690179431,9.267075579642452,0.0
NEOG,4.207351818253864,5.002292314335965,3.4767735074900155,13.833572663057478,0.0
NFLX,56.7303910525081,107.92317469684679,92.11568831778982,159.59365708386866,0.0
NI,1.9374976923988998,3.9229900502641253,2.2574361829299003,3.3214299021294362,0.0
NLSN,3.843502614718742,4.463196814217841,4.138685028018206,5.839488075873667,0.0
NMHLY,6.242944781716566,9.437747993734703,0.2331362830171835,0.014121510368017445,0.0
NOC,62.162295146484,40.00832401323732,49.53680976546788,68.7838989772563,0.0
NOK,1.4426874729224715,0.8789242561165784,1.289373430227234,0.7520161845402749,0.0
NOV,5.329885774615955,7.215333961515684,2.3358922183043664,3.7867227873350964,0.0
NOW,44.596308950181395,142.9563985277649,114.7842099937808,111.81556104396799,0.0
NOXL,0.011047783808746913,0.2239834679907722,0.09629288555833741,0.015369780861037251,0.0
NRG,4.555350628020701,5.2667109580600995,5.136746722222589,4.894512578040524,0.0
NSC,20.391124553405664,46.936127370155845,24.347323090225462,34.863376172859276,0.0
NTAP,11.92719272209395,12.557966636373832,15.065994867745223,14.596351804505943,0.0
NTRA,13.700569568222598,34.84301495440399,16.749174580657712,19.87374024268432,0.0
NTRR,0.01731499781535771,0.0011951420979348759,0.0032055906841497684,0.00038314062180610755,0.0
NTRS,11.284790205321187,16.392549202304124,14.920880325899068,20.929573620888114,0.0
NVR,700.231283871452,881.2950501015184,631.9533325496916,718.1250564384491,0.0
NVRO,35.096759947492316,35.79103218632457,47.291215108521506,23.390732082487894,0.0
NWL,3.7320219571944775,4.6509819527916285,3.411037269525584,6.067618711071053,0.0
O,6.50554854862787,13.657445348032345,6.71604107331422,6.990888835653808,0.0
ODFL,20.947174805737287,46.946406788952395,77.83765721807252,41.08781274864163,0.0
OKE,6.194584389436265,28.818181135808082,10.539127837499839,8.102697681164754,0.0
